Date,Registration,Call Sign,Flight Direction,Marketing Airline Desc,Non-PA Airport,Body Type Desc,Gate,Terminal Code,Total Gate Occ Time,Arrival Runway,Block Schedule,Block Actual,Total Calculated Delay,Total  Movement Time,Total Ramp Time,Total Taxi Time Calc,On Scheduled,On Actual
2025-06-04 00:00:00,C-FEJB,JZA990,Missed Approach,Air Canada,YYZ,Commuter,Gate_TB_51,Terminal B,,22,,,0,,,,2025-06-04 14:47:00,2025-06-04 14:53:00
2025-06-09 00:00:00,C-FXJC,JZA634,Missed Approach,Air Canada,YUL,Commuter,Gate_TB_52,Terminal B,,4,,,0,,,,2025-06-09 09:27:00,2025-06-09 09:41:00
2025-06-17 00:00:00,C-GJXV,ACA704,Missed Approach,Air Canada,YYZ,Narrow Body,Gate_TB_51,Terminal B,,4,,,0,,,,2025-06-17 10:46:00,2025-06-17 12:32:00
2025-06-17 00:00:00,C-FTJZ,JZA632,Missed Approach,Air Canada,YUL,Commuter,Gate_TB_52,Terminal B,,4,,,0,,,,2025-06-17 07:45:00,2025-06-17 08:11:00
2025-07-05 00:00:00,C-FJBO,JZA996,Missed Approach,Air Canada,YYZ,Commuter,Gate_TB_51,Terminal B,,22,,,0,,,,2025-07-05 19:42:36,2025-07-05 20:41:00
2025-07-22 00:00:00,C-GWUS,ACA702,Missed Approach,Air Canada,YYZ,Narrow Body,Gate_TB_52,Terminal B,,4,,,0,,,,2025-07-22 09:18:00,2025-07-22 09:14:00
2025-07-29 00:00:00,C-GTZS,ACA706,Missed Approach,Air Canada,YYZ,Narrow Body,Gate_TB_51,Terminal B,,22-22,,,0,,,,2025-07-29 15:48:00,2025-07-29 15:45:00
2025-07-30 00:00:00,C-GNBN,ACA736,Missed Approach,Air Canada,YUL,Narrow Body,Gate_TB_52,Terminal B,,22-4,,,0,,,,2025-07-30 22:37:00,2025-07-30 20:09:00
2025-08-20 00:00:00,C-GVUH,ACA712,Missed Approach,Air Canada,YYZ,Narrow Body,Gate_TB_51,Terminal B,,4,,,0,,,,2025-08-20 14:53:00,2025-08-20 17:48:00
2025-08-22 00:00:00,C-FGJI,ACA700,Missed Approach,Air Canada,YYZ,Narrow Body,Gate_TB_51,Terminal B,,4,,,0,,,,2025-08-22 07:43:00,2025-08-22 08:05:00
2025-05-22 00:00:00,N732US,AAL2865,Missed Approach,American Airlines,ORD,Narrow Body,Gate_TB_14,Terminal B,,4-4,,,0,,,,2025-05-22 13:21:00,2025-05-22 13:27:00
2025-05-22 00:00:00,N979RP,RPA4498,Missed Approach,American Airlines,GRR,Commuter,Gate_TB_26,Terminal B,,4,,,0,,,,2025-05-22 14:11:00,2025-05-22 14:50:00
2025-05-23 00:00:00,N120HQ,RPA4347,Missed Approach,American Airlines,YYZ,Commuter,Gate_TB_12,Terminal B,,22,,,0,,,,2025-05-23 12:02:00,2025-05-23 12:01:00
2025-05-23 00:00:00,N120HQ,RPA4747,Missed Approach,American Airlines,IND,Commuter,Gate_TB_20,Terminal B,,22-22-31-31,,,0,,,,2025-05-23 17:42:00,2025-05-23 18:22:00
2025-05-24 00:00:00,N101HQ,RPA4660,Missed Approach,American Airlines,BNA,Commuter,Gate_TB_26,Terminal B,,22,,,0,,,,2025-05-24 15:52:00,2025-05-24 16:16:00
2025-05-25 00:00:00,N981NN,AAL1553,Missed Approach,American Airlines,MIA,Narrow Body,Gate_TB_20,Terminal B,,31,,,0,,,,2025-05-25 17:16:00,2025-05-25 17:27:00
2025-05-29 00:00:00,N111HQ,RPA4754,Missed Approach,American Airlines,DCA,Commuter,Gate_TB_28,Terminal B,,4,,,0,,,,2025-05-29 07:01:00,2025-05-29 07:17:00
2025-05-31 00:00:00,N955AN,AAL2484,Missed Approach,American Airlines,DFW,Narrow Body,Gate_TB_19,Terminal B,,31,,,0,,,,2025-05-31 15:58:00,2025-05-31 16:00:00
2025-06-01 00:00:00,N651AW,AAL1942,Missed Approach,American Airlines,CLT,Narrow Body,Gate_TB_11,Terminal B,,22-22-31-31,,,0,,,,2025-06-01 22:24:00,2025-06-01 22:43:00
2025-06-01 00:00:00,N105HQ,RPA4393,Missed Approach,American Airlines,DCA,Commuter,Gate_TB_26,Terminal B,,22,,,0,,,,2025-06-01 13:16:00,2025-06-01 13:33:00
2025-06-02 00:00:00,N803NN,AAL3120,Missed Approach,American Airlines,TPA,Narrow Body,Gate_TB_27,Terminal B,,22-22-22-31-31-31,,,0,,,,2025-06-02 09:59:00,2025-06-02 10:19:00
